hit_name,qseqid,pident,db,taxon_name
110520,1_2114_5223_19999_lib_TGACAT_tag_ATCGAC,99.327,genbank,Balanus glandula
110520,1_2106_3956_14122_lib_TGACAT_tag_ATCGAC,100,genbank,Balanus glandula
110520,1_1119_9263_15112_lib_TGACAT_tag_ATCGAC,99.535,genbank,Balanus glandula
110520,1_1119_25400_10760_lib_TGACAT_tag_ATCGAC,99.537,genbank,Balanus glandula
110520,1_1108_15350_11850_lib_TGACAT_tag_ACAGTC,99.537,genbank,Balanus glandula
110520,1_1106_21214_11286_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1101_22688_16597_lib_ATTGGC_tag_AGCTAG,100,genbank,Balanus glandula
110520,1_1110_18828_2324_lib_ATTGGC_tag_AGTGTA,99.663,genbank,Balanus glandula
110520,1_1113_4886_8757_lib_ATTGGC_tag_AGTGTA,100,genbank,Balanus glandula
110520,1_1102_25625_18466_lib_ATTGGC_tag_ATCGAC,100,genbank,Balanus glandula
110520,1_2106_11440_13910_lib_ATTGGC_tag_AGCTAG,100,genbank,Balanus glandula
110520,1_1109_6342_23349_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1101_14312_16969_lib_GGAACT_tag_ATAGCA,99.681,genbank,Balanus glandula
110520,1_2119_14668_24679_lib_GATCTG_tag_ACGTAT,100,genbank,Balanus glandula
110520,1_1101_13579_2164_lib_GATCTG_tag_ACTAGC,100,genbank,Balanus glandula
110520,1_1107_21468_8815_lib_GGACGG_tag_AGACGC,99.327,genbank,Balanus glandula
113644;136139,1_1102_6010_3622_lib_TGACAT_tag_ACGTAT,99.648,genbank,Calanus marshallae;Calanus glacialis
114067,1_1113_23994_17980_lib_GATCTG_tag_AGCTAG,100,genbank,Metridia pacifica
114067,1_2116_10275_9349_lib_GATCTG_tag_ATAGCA,99.679,genbank,Metridia pacifica
114067,1_2107_11676_9226_lib_TGACAT_tag_ACAGTC,100,genbank,Metridia pacifica
114067,1_1107_24396_14928_lib_GATCTG_tag_ATAGCA,100,genbank,Metridia pacifica
114067,1_2104_19330_4330_lib_GATCTG_tag_ACGTAT,100,genbank,Metridia pacifica
114067,1_2110_20000_15908_lib_GATCTG_tag_ATCGAC,100,genbank,Metridia pacifica
114067,1_1105_11289_16736_lib_TGACAT_tag_ACAGTC,99.678,genbank,Metridia pacifica
114067,1_1116_18681_9486_lib_TGACAT_tag_ACGTAT,100,genbank,Metridia pacifica
114067,1_1118_13700_1376_lib_TGACAT_tag_ATCGAC,99.357,genbank,Metridia pacifica
114067,1_1110_20621_16162_lib_TGACAT_tag_ATCGAC,99.678,genbank,Metridia pacifica
114067,1_1103_10161_8496_lib_TGACAT_tag_ATCGAC,97.115,genbank,Metridia pacifica
114067,1_2103_13638_23981_lib_TGACAT_tag_ATCGAC,99.038,genbank,Metridia pacifica
114067,1_1102_14773_19244_lib_TGACAT_tag_ATCGAC,99.659,genbank,Metridia pacifica
114067,1_1109_10536_6056_lib_TGACAT_tag_ATCGAC,99.66,genbank,Metridia pacifica
114067,1_1108_24606_5129_lib_TGACAT_tag_ATCGAC,98.083,genbank,Metridia pacifica
114067,1_1101_6811_5823_lib_TGACAT_tag_ATCGAC,100,genbank,Metridia pacifica
114067,1_2117_26203_15611_lib_ACATCG_tag_ATGTCG,100,genbank,Metridia pacifica
114067,1_2110_8734_10005_lib_GATCTG_tag_ACGTAT,100,genbank,Metridia pacifica
1154591;433399,1_1101_9335_14794_lib_CACTGT_tag_ACGTAT,100,genbank,Artedius harringtoni I;Artedius harringtoni
1154714,1_1101_11401_10213_lib_TACAAG_tag_ACTAGC,97.444,genbank,Cuthona divae
116181,1_2102_17978_4940_lib_GATCTG_tag_AGCTAG,100,genbank,Chthamalus dalli
116181,1_1110_16901_11082_lib_GATCTG_tag_AGACGC,100,genbank,Chthamalus dalli
116181,1_2110_2681_12385_lib_GATCTG_tag_AGTCAT,100,genbank,Chthamalus dalli
116181,1_2107_12650_16788_lib_GATCTG_tag_ACGTAT,100,genbank,Chthamalus dalli
116181,1_2104_14680_24023_lib_GATCTG_tag_ACGTAT,100,genbank,Chthamalus dalli
116181,1_2118_17570_12847_lib_GATCTG_tag_AGACGC,99.636,genbank,Chthamalus dalli
1167875,1_1103_9991_15870_lib_TTGACT_tag_ACTAGC,99.361,genbank,Squamamoeba japonica
1167875,1_1118_9489_6293_lib_CACTGT_tag_ATCGAC,100,genbank,Squamamoeba japonica
1186927,1_1115_18091_11665_lib_GATCTG_tag_ACGTAT,100,genbank,Hataia parva
119370,1_1112_14986_3419_lib_TGACAT_tag_ATCGAC,100,genbank,Neocalanus plumchrus
119370,1_1115_18525_14645_lib_TGACAT_tag_ATCGAC,98.397,genbank,Neocalanus plumchrus
119370,1_1113_5750_7866_lib_TGACAT_tag_ATCGAC,99.528,genbank,Neocalanus plumchrus
119370,1_1103_17659_11671_lib_TGACAT_tag_ATCGAC,98.403,genbank,Neocalanus plumchrus
119370,1_1107_13500_10222_lib_TGACAT_tag_ATCGAC,99.042,genbank,Neocalanus plumchrus
119372,1_2102_18453_14781_lib_GATCTG_tag_AGCTAG,98.524,genbank,Pseudocalanus moultoni
119372,1_1106_18120_9969_lib_GATCTG_tag_AGCTAG,98.524,genbank,Pseudocalanus moultoni
119372,1_1119_24495_17220_lib_GATCTG_tag_AGTCAT,97.417,genbank,Pseudocalanus moultoni
119372,1_1109_16446_22068_lib_GATCTG_tag_AGTCAT,97.786,genbank,Pseudocalanus moultoni
119372,1_2113_19465_18463_lib_TGACAT_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_2104_26131_15709_lib_GATCTG_tag_AGTCAT,97.786,genbank,Pseudocalanus moultoni
119372,1_1109_12683_7969_lib_GATCTG_tag_AGTCAT,98.513,genbank,Pseudocalanus moultoni
119372,1_1108_6850_11922_lib_GATCTG_tag_AGTCAT,97.786,genbank,Pseudocalanus moultoni
119372,1_1102_9193_16443_lib_GATCTG_tag_AGTCAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1103_19144_10024_lib_TGACAT_tag_ACAGTC,98.885,genbank,Pseudocalanus moultoni
119372,1_1102_23403_17560_lib_TGACAT_tag_ACGTAT,97.786,genbank,Pseudocalanus moultoni
119372,1_2112_25624_9067_lib_GATCTG_tag_ACAGTC,98.155,genbank,Pseudocalanus moultoni
119372,1_1109_4335_11042_lib_GATCTG_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1114_11538_15941_lib_GATCTG_tag_ATCGAC,98.893,genbank,Pseudocalanus moultoni
119372,1_1108_8541_5283_lib_GGACGG_tag_AGACGC,98.524,genbank,Pseudocalanus moultoni
119372,1_1109_24742_12593_lib_TGACAT_tag_ACAGTC,98.524,genbank,Pseudocalanus moultoni
119372,1_2114_23054_17432_lib_GGACGG_tag_ATCGAC,98.519,genbank,Pseudocalanus moultoni
119372,1_1102_26371_8859_lib_GATCTG_tag_ACAGTC,98.524,genbank,Pseudocalanus moultoni
119372,1_1104_6962_22695_lib_GATCTG_tag_AGCTAG,98.155,genbank,Pseudocalanus moultoni
119372,1_1118_27964_13910_lib_GGACGG_tag_AGACGC,98.893,genbank,Pseudocalanus moultoni
119372,1_2116_21983_22857_lib_GATCTG_tag_AGTCAT,98.885,genbank,Pseudocalanus moultoni
119372,1_1113_12907_9706_lib_TGACAT_tag_ACAGTC,98.155,genbank,Pseudocalanus moultoni
119372,1_2115_5446_4534_lib_GATCTG_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1108_9574_23954_lib_TGACAT_tag_ACAGTC,97.048,genbank,Pseudocalanus moultoni
119372,1_2112_13642_17420_lib_TGACAT_tag_ACAGTC,97.048,genbank,Pseudocalanus moultoni
119372,1_2109_19021_5539_lib_TGACAT_tag_ACAGTC,98.524,genbank,Pseudocalanus moultoni
119372,1_1108_11183_5991_lib_TGACAT_tag_ACAGTC,98.155,genbank,Pseudocalanus moultoni
119372,1_1106_11366_2535_lib_TGACAT_tag_ACAGTC,97.786,genbank,Pseudocalanus moultoni
119372,1_1101_24856_19962_lib_TGACAT_tag_ACAGTC,97.786,genbank,Pseudocalanus moultoni
119372,1_2118_20123_12405_lib_TGACAT_tag_ACGTAT,98.889,genbank,Pseudocalanus moultoni
119372,1_1117_16856_3924_lib_TGACAT_tag_ACAGTC,97.753,genbank,Pseudocalanus moultoni
119372,1_1109_27786_8878_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1108_7666_8258_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1107_14290_5152_lib_GATCTG_tag_AGTCAT,98.513,genbank,Pseudocalanus moultoni
119372,1_1104_8742_1260_lib_TGACAT_tag_ACAGTC,98.524,genbank,Pseudocalanus moultoni
119372,1_1102_14780_25172_lib_TGACAT_tag_ACAGTC,97.786,genbank,Pseudocalanus moultoni
119372,1_1102_18089_16404_lib_TGACAT_tag_ACGTAT,97.048,genbank,Pseudocalanus moultoni
119372,1_2114_24178_13913_lib_TGACAT_tag_ACGTAT,97.407,genbank,Pseudocalanus moultoni
119372,1_2106_7299_14492_lib_TGACAT_tag_ACGTAT,98.885,genbank,Pseudocalanus moultoni
119372,1_2104_13331_17401_lib_TGACAT_tag_ACGTAT,97.786,genbank,Pseudocalanus moultoni
119372,1_1118_26855_19983_lib_TGACAT_tag_ACGTAT,97.786,genbank,Pseudocalanus moultoni
119372,1_1116_8630_24118_lib_TGACAT_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1110_21649_17588_lib_TGACAT_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1110_10936_22013_lib_TGACAT_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1109_4830_14331_lib_TGACAT_tag_ACGTAT,97.037,genbank,Pseudocalanus moultoni
119372,1_1107_14727_4076_lib_TGACAT_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1117_24980_4287_lib_TGACAT_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1114_24001_14971_lib_TGACAT_tag_ACGTAT,98.513,genbank,Pseudocalanus moultoni
119372,1_1115_13039_7178_lib_TGACAT_tag_ATAGCA,98.893,genbank,Pseudocalanus moultoni
119372,1_1101_14258_3864_lib_TGACAT_tag_ACGTAT,98.513,genbank,Pseudocalanus moultoni
119372,1_1114_9991_1811_lib_TGACAT_tag_ACGTAT,97.786,genbank,Pseudocalanus moultoni
119372,1_1113_20012_23213_lib_TGACAT_tag_ACAGTC,97.417,genbank,Pseudocalanus moultoni
119372,1_1106_11555_21977_lib_TGACAT_tag_ATAGCA,98.155,genbank,Pseudocalanus moultoni
119372,1_1102_23562_24052_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1104_12499_23919_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1104_28170_11794_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1105_23506_21477_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_1105_10205_1761_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_2118_11044_9505_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_2113_11258_3580_lib_TGACAT_tag_ATCGAC,98.885,genbank,Pseudocalanus moultoni
119372,1_2110_4690_12569_lib_TGACAT_tag_ATCGAC,97.417,genbank,Pseudocalanus moultoni
119372,1_2107_19448_9282_lib_TGACAT_tag_ATCGAC,98.513,genbank,Pseudocalanus moultoni
119372,1_2101_13054_2480_lib_TGACAT_tag_ATCGAC,97.786,genbank,Pseudocalanus moultoni
119372,1_1118_8651_4022_lib_TGACAT_tag_ATCGAC,97.786,genbank,Pseudocalanus moultoni
119372,1_1116_22959_15495_lib_TGACAT_tag_ATCGAC,97.417,genbank,Pseudocalanus moultoni
119372,1_1116_20453_8513_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1115_9529_23110_lib_TGACAT_tag_ATCGAC,98.893,genbank,Pseudocalanus moultoni
119372,1_1115_26919_15468_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_1114_27040_5848_lib_TGACAT_tag_ATCGAC,97.786,genbank,Pseudocalanus moultoni
119372,1_1113_26468_16680_lib_TGACAT_tag_ATCGAC,97.786,genbank,Pseudocalanus moultoni
119372,1_1113_10447_16905_lib_TGACAT_tag_ATCGAC,98.524,genbank,Pseudocalanus moultoni
119372,1_1112_9411_19655_lib_TGACAT_tag_ATCGAC,97.378,genbank,Pseudocalanus moultoni
119372,1_1112_14406_18100_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_1111_20541_9571_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_1109_24442_6403_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_1107_4845_16714_lib_TGACAT_tag_ATCGAC,98.885,genbank,Pseudocalanus moultoni
119372,1_1106_6963_10246_lib_TGACAT_tag_ATCGAC,97.786,genbank,Pseudocalanus moultoni
119372,1_1104_26612_16974_lib_TGACAT_tag_ATCGAC,98.513,genbank,Pseudocalanus moultoni
119372,1_1103_6678_20865_lib_TGACAT_tag_ATCGAC,98.141,genbank,Pseudocalanus moultoni
119372,1_1103_27120_10414_lib_TGACAT_tag_ATCGAC,98.893,genbank,Pseudocalanus moultoni
119372,1_1102_22572_24932_lib_TGACAT_tag_ATCGAC,98.141,genbank,Pseudocalanus moultoni
119372,1_1112_22683_15872_lib_TGACAT_tag_ATCGAC,98.502,genbank,Pseudocalanus moultoni
119372,1_2103_11078_3006_lib_TGACAT_tag_ACGTAT,97.417,genbank,Pseudocalanus moultoni
119372,1_2104_18492_23908_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_1102_26806_19207_lib_TGACAT_tag_ATCGAC,98.155,genbank,Pseudocalanus moultoni
119372,1_2107_29052_11957_lib_ACATCG_tag_ATGTCG,98.524,genbank,Pseudocalanus moultoni
119372,1_1101_23684_2701_lib_GATCTG_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1119_14276_12558_lib_CACTGT_tag_ACAGTC,98.507,genbank,Pseudocalanus moultoni
119372,1_1118_25514_9430_lib_GATCTG_tag_ACAGTC,98.155,genbank,Pseudocalanus moultoni
119372,1_1114_15362_4166_lib_GATCTG_tag_ACAGTC,98.155,genbank,Pseudocalanus moultoni
119372,1_2107_8388_18233_lib_GATCTG_tag_ACGTAT,97.786,genbank,Pseudocalanus moultoni
119372,1_2119_4712_10990_lib_GATCTG_tag_ACGTAT,98.524,genbank,Pseudocalanus moultoni
119372,1_1112_22366_17175_lib_GATCTG_tag_AGTCAT,98.513,genbank,Pseudocalanus moultoni
119372,1_1103_12939_24694_lib_TGACAT_tag_ACGTAT,97.786,genbank,Pseudocalanus moultoni
119372,1_2112_19147_20766_lib_GATCTG_tag_ACTAGC,97.417,genbank,Pseudocalanus moultoni
119372,1_2115_14374_21344_lib_GATCTG_tag_AGACGC,98.524,genbank,Pseudocalanus moultoni
119372,1_1105_9064_19191_lib_GATCTG_tag_AGACGC,98.885,genbank,Pseudocalanus moultoni
119373,1_1103_7531_18874_lib_GATCTG_tag_AGCTAG,98.282,genbank,Pseudocalanus newmani
119373,1_1101_12369_8969_lib_GATCTG_tag_AGACGC,99.313,genbank,Pseudocalanus newmani
119373,1_2111_5441_12178_lib_GATCTG_tag_AGTCAT,98.958,genbank,Pseudocalanus newmani
119373,1_2109_6040_12928_lib_GATCTG_tag_AGCTAG,99.313,genbank,Pseudocalanus newmani
119373,1_1103_11963_23097_lib_GATCTG_tag_AGTCAT,98.958,genbank,Pseudocalanus newmani
119373,1_1102_9840_10703_lib_GATCTG_tag_AGTCAT,99.313,genbank,Pseudocalanus newmani
119373,1_1102_23981_6607_lib_GATCTG_tag_AGTCAT,98.958,genbank,Pseudocalanus newmani
119373,1_1104_25444_6352_lib_GATCTG_tag_ACGTAT,99.656,genbank,Pseudocalanus newmani
119373,1_1117_13728_13019_lib_GATCTG_tag_AGTCAT,98.969,genbank,Pseudocalanus newmani
119373,1_2114_4920_8019_lib_GATCTG_tag_AGTCAT,99.313,genbank,Pseudocalanus newmani
119373,1_1108_26822_10130_lib_GATCTG_tag_AGTCAT,98.625,genbank,Pseudocalanus newmani
119373,1_1102_16500_21709_lib_GATCTG_tag_AGTCAT,99.674,genbank,Pseudocalanus newmani
119373,1_2102_19621_14575_lib_GATCTG_tag_ACGTAT,98.969,genbank,Pseudocalanus newmani
119373,1_1111_21610_17589_lib_GATCTG_tag_ACGTAT,98.625,genbank,Pseudocalanus newmani
119373,1_1108_6873_15489_lib_GATCTG_tag_AGTCAT,99.313,genbank,Pseudocalanus newmani
119373,1_1107_19993_21779_lib_GATCTG_tag_AGTCAT,98.969,genbank,Pseudocalanus newmani
119373,1_1105_16893_15260_lib_GATCTG_tag_AGTCAT,99.313,genbank,Pseudocalanus newmani
119373,1_1118_19729_4079_lib_GATCTG_tag_AGTCAT,99.656,genbank,Pseudocalanus newmani
119373,1_1116_24254_17866_lib_GATCTG_tag_AGTCAT,99.313,genbank,Pseudocalanus newmani
119373,1_1101_19007_18771_lib_GATCTG_tag_AGTGTA,99.656,genbank,Pseudocalanus newmani
119373,1_1106_28554_16071_lib_GATCTG_tag_AGTGTA,98.625,genbank,Pseudocalanus newmani
119373,1_1105_26930_20644_lib_GATCTG_tag_ACGTAT,100,genbank,Pseudocalanus newmani
119373,1_1113_23120_8960_lib_GATCTG_tag_ATAGCA,98.969,genbank,Pseudocalanus newmani
119373,1_1106_14397_21964_lib_GATCTG_tag_AGCTAG,99.313,genbank,Pseudocalanus newmani
119373,1_1114_25895_6184_lib_GATCTG_tag_ACGTAT,99.313,genbank,Pseudocalanus newmani
119373,1_2109_19326_12509_lib_GATCTG_tag_ATCGAC,99.306,genbank,Pseudocalanus newmani
119373,1_1107_18949_4980_lib_GATCTG_tag_ATCGAC,100,genbank,Pseudocalanus newmani
119373,1_1114_2744_17471_lib_GATCTG_tag_ATCGAC,98.264,genbank,Pseudocalanus newmani
119373,1_1111_23235_17214_lib_GATCTG_tag_ATCGAC,99.313,genbank,Pseudocalanus newmani
119373,1_2117_12799_14448_lib_GATCTG_tag_AGCTAG,99.681,genbank,Pseudocalanus newmani
119373,1_2109_5501_17194_lib_GATCTG_tag_ATCGAC,100,genbank,Pseudocalanus newmani
119373,1_2102_24776_12126_lib_GATCTG_tag_AGTCAT,99.313,genbank,Pseudocalanus newmani
119373,1_1112_18092_8675_lib_GATCTG_tag_ATCGAC,99.656,genbank,Pseudocalanus newmani
119373,1_2119_20460_20909_lib_GATCTG_tag_AGACGC,99.313,genbank,Pseudocalanus newmani
119373,1_2111_26243_18077_lib_GATCTG_tag_ATGTCG,98.969,genbank,Pseudocalanus newmani
119373,1_1107_18481_4311_lib_GATCTG_tag_ACGTAT,99.313,genbank,Pseudocalanus newmani
119373,1_1111_15706_3033_lib_GATCTG_tag_ACAGTC,99.656,genbank,Pseudocalanus newmani
119373,1_1101_6506_8759_lib_GGAACT_tag_ATAGCA,100,genbank,Pseudocalanus newmani
119373,1_1102_7656_8220_lib_GGAACT_tag_AGTCAT,99.656,genbank,Pseudocalanus newmani
119373,1_1102_5824_17369_lib_GATCTG_tag_ATCGAC,97.193,genbank,Pseudocalanus newmani
119373,1_2119_9629_13315_lib_GATCTG_tag_ACGTAT,98.969,genbank,Pseudocalanus newmani
119373,1_1119_21438_17880_lib_GATCTG_tag_ATCGAC,99.313,genbank,Pseudocalanus newmani
119373,1_1109_14494_12233_lib_GGAACT_tag_AGTCAT,100,genbank,Pseudocalanus newmani
119373,1_1103_13535_8103_lib_TGACAT_tag_ATAGCA,99.656,genbank,Pseudocalanus newmani
119373,1_1115_25777_15436_lib_GATCTG_tag_AGTCAT,99.681,genbank,Pseudocalanus newmani
